League,Year,Season,Type,blueTeamTag,blueResult,redResult,redTeamTag,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,blueBans,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp,redBans
NALCS,2015,Spring,Season,CLG,1,0,C9,Rumble,Vi,Zed,Caitlyn,Morgana,"Annie, Kassadin, Kalista",Gnar,RekSai,Leblanc,Corki,Janna,"JarvanIV, Cassiopeia, Lissandra"
NALCS,2015,Spring,Season,DIG,0,1,WFX,Gnar,JarvanIV,Azir,KogMaw,Nami,"Kalista, Lissandra, Annie",Maokai,LeeSin,Zed,Sivir,Janna,"RekSai, Kassadin, Corki"
NALCS,2015,Spring,Season,TSM,1,0,TL,Lissandra,JarvanIV,Xerath,Tristana,Morgana,"Cassiopeia, Annie, Sivir",Gnar,Nunu,Ahri,Caitlyn,Janna,"Kalista, Rumble, Kassadin"
NALCS,2015,Spring,Season,TIP,1,0,T8,Gnar,LeeSin,Leblanc,KogMaw,Nami,"Irelia, Jax, Sivir",Malphite,JarvanIV,Orianna,Graves,Janna,"Rumble, Kassadin, Lissandra"
NALCS,2015,Spring,Season,CST,0,1,GV,Sion,Rengar,Ahri,Sivir,Janna,"Zed, Azir, Kassadin",Lissandra,JarvanIV,Corki,Kalista,Thresh,"Irelia, Gnar, Xerath"
NALCS,2015,Spring,Season,GV,0,1,TIP,Lulu,RekSai,Corki,Kalista,Morgana,"Leblanc, Xerath, Azir",Rumble,LeeSin,Ahri,Graves,Annie,"JarvanIV, Kassadin, Lissandra"
NALCS,2015,Spring,Season,C9,1,0,T8,Maokai,Vi,Kassadin,Graves,Annie,"Nidalee, Leblanc, Ahri",Irelia,JarvanIV,Corki,Sivir,Leona,"Kalista, Rumble, Lissandra"
NALCS,2015,Spring,Season,DIG,0,1,TSM,RekSai,Vi,Azir,Corki,Thresh,"Rumble, Kassadin, Annie",Maokai,LeeSin,Xerath,Sivir,Morgana,"JarvanIV, Lissandra, Ahri"
NALCS,2015,Spring,Season,TL,1,0,CST,Lissandra,RekSai,Xerath,Vayne,Nami,"Irelia, Ahri, Gnar",Sion,JarvanIV,Cassiopeia,Sivir,Morgana,"Kalista, Kassadin, Annie"
NALCS,2015,Spring,Season,WFX,0,1,CLG,Gnar,JarvanIV,Kassadin,Sivir,Janna,"Kalista, Annie, Blitzcrank",Irelia,Vi,Nidalee,Jinx,Morgana,"Maokai, Lissandra, Leblanc"
NALCS,2015,Spring,Season,C9,1,0,CST,Rumble,Vi,Leblanc,Graves,Morgana,"Ahri, Irelia, Gnar",Maokai,JarvanIV,Xerath,Lucian,Janna,"Kassadin, Lissandra, Kalista"
NALCS,2015,Spring,Season,CLG,1,0,GV,Lissandra,LeeSin,Ezreal,Sivir,Alistar,"Kassadin, JarvanIV, Morgana",Irelia,Vi,Azir,Corki,Janna,"Ahri, Annie, Kalista"
NALCS,2015,Spring,Season,TL,0,1,DIG,Maokai,Vi,Ezreal,Vayne,Annie,"Thresh, Irelia, Gnar",Rumble,JarvanIV,Ahri,Sivir,Morgana,"Lissandra, RekSai, Kassadin"
NALCS,2015,Spring,Season,T8,1,0,WFX,Jax,RekSai,Lissandra,Graves,Morgana,"Zed, Janna, Maokai",Gnar,LeeSin,Lulu,Kalista,Annie,"Kassadin, JarvanIV, Irelia"
NALCS,2015,Spring,Season,TSM,1,0,TIP,Sion,Vi,Ahri,Jinx,Janna,"Rumble, Leblanc, Sivir",Maokai,LeeSin,Yasuo,Graves,Morgana,"Kalista, JarvanIV, Lissandra"
NALCS,2015,Spring,Season,CST,0,1,CLG,Irelia,RekSai,Leblanc,Kalista,Thresh,"Vi, Lissandra, Ahri",Sion,JarvanIV,Nidalee,Jinx,Morgana,"Xerath, Maokai, Gnar"
NALCS,2015,Spring,Season,WFX,1,0,TIP,Lissandra,Vi,Kassadin,Graves,Morgana,"LeeSin, Nidalee, Kalista",Maokai,RekSai,Ezreal,Sivir,Leona,"Ahri, JarvanIV, Rengar"
NALCS,2015,Spring,Season,DIG,0,1,C9,Gnar,JarvanIV,Leblanc,Sivir,Thresh,"Lissandra, Rumble, Morgana",Maokai,Nidalee,Zed,Kalista,Janna,"Ahri, Annie, Kassadin"
NALCS,2015,Spring,Season,T8,0,1,TL,Maokai,RekSai,Kassadin,Draven,Thresh,"Annie, Janna, Lissandra",Rumble,JarvanIV,Ahri,Graves,Leona,"Irelia, Morgana, Nidalee"
NALCS,2015,Spring,Season,GV,0,1,TSM,Maokai,JarvanIV,Xerath,Graves,Braum,"Ahri, Leblanc, Nidalee",Lissandra,Vi,Zed,Sivir,Janna,"Corki, Morgana, Kalista"
NALCS,2015,Spring,Season,WFX,1,0,C9,Lissandra,RekSai,Ahri,Graves,Leona,"Kalista, Nidalee, Rumble",Maokai,Vi,Kassadin,Lucian,Janna,"Morgana, Annie, Gnar"
NALCS,2015,Spring,Season,TIP,1,0,CST,Rumble,Vi,Lissandra,Jinx,Morgana,"Irelia, Kassadin, Kalista",Gnar,JarvanIV,Xerath,Graves,Thresh,"Ahri, LeeSin, Leblanc"
NALCS,2015,Spring,Season,CLG,0,1,TSM,Gnar,Vi,Lissandra,Corki,Janna,"Xerath, Leblanc, Maokai",Sion,JarvanIV,Ahri,Sivir,Annie,"Rumble, Morgana, Nidalee"
NALCS,2015,Spring,Season,GV,1,0,TL,Maokai,Vi,Zed,Graves,Thresh,"Nidalee, Ahri, Leblanc",Swain,JarvanIV,Azir,Tristana,Janna,"Morgana, Corki, Lissandra"
NALCS,2015,Spring,Season,DIG,1,0,T8,Renekton,LeeSin,Kassadin,Corki,Annie,"Irelia, Nidalee, Lissandra",Maokai,Vi,Orianna,Sivir,Morgana,"JarvanIV, Ahri, Rumble"
NALCS,2015,Spring,Season,TL,0,1,WFX,Fizz,RekSai,Xerath,Jinx,Janna,"Kalista, Zed, Ahri",Maokai,Vi,Leblanc,Graves,Annie,"Lissandra, Rumble, Morgana"
NALCS,2015,Spring,Season,T8,0,1,GV,Gnar,RekSai,Ahri,Graves,Annie,"Vi, Zed, JarvanIV",Maokai,Nunu,Kassadin,Sivir,Morgana,"Nidalee, Irelia, Lissandra"
NALCS,2015,Spring,Season,C9,1,0,TIP,Maokai,Nidalee,Zed,Corki,Veigar,"Morgana, Kassadin, Kennen",DrMundo,LeeSin,Leblanc,Graves,Thresh,"Lissandra, Kalista, Rumble"
NALCS,2015,Spring,Season,DIG,0,1,CLG,Rumble,RekSai,Kassadin,Lucian,Morgana,"Kalista, Nidalee, Lissandra",Maokai,Vi,Ahri,Tristana,Braum,"Annie, JarvanIV, Sivir"
NALCS,2015,Spring,Season,TSM,1,0,CST,Maokai,Vi,Ahri,Jinx,Janna,"Irelia, Morgana, JarvanIV",Kassadin,RekSai,Zed,Sivir,Blitzcrank,"Lissandra, Kalista, Annie"
NALCS,2015,Spring,Season,C9,1,0,CLG,Rumble,RekSai,Zed,Corki,Braum,"Morgana, Nidalee, Cassiopeia",Maokai,JarvanIV,Ahri,Sivir,Thresh,"Veigar, Annie, Lissandra"
NALCS,2015,Spring,Season,TL,1,0,TSM,Irelia,RekSai,Lissandra,Corki,Annie,"Kalista, Maokai, Zed",Rumble,JarvanIV,Cassiopeia,Jinx,Janna,"Fizz, Morgana, Vi"
NALCS,2015,Spring,Season,WFX,0,1,DIG,Sion,RekSai,Ahri,Graves,Janna,"Rumble, Morgana, Annie",Renekton,JarvanIV,Kassadin,Sivir,Thresh,"Maokai, Zed, Lissandra"
NALCS,2015,Spring,Season,CST,0,1,T8,Maokai,RekSai,Ahri,Graves,Janna,"Nidalee, Morgana, Rumble",Irelia,JarvanIV,Leblanc,Sivir,Thresh,"Zed, Lissandra, Kassadin"
NALCS,2015,Spring,Season,TIP,1,0,GV,Morgana,RekSai,Lulu,Sivir,Janna,"Maokai, JarvanIV, Kassadin",DrMundo,Nunu,Zed,Corki,Braum,"Ahri, Rumble, Lissandra"
NALCS,2015,Spring,Season,CST,0,1,C9,Gnar,JarvanIV,Syndra,Graves,Morgana,"Kassadin, Rumble, Veigar",Maokai,RekSai,Zed,Corki,Braum,"Lissandra, Nidalee, Hecarim"
NALCS,2015,Spring,Season,T8,1,0,TIP,Fizz,RekSai,Leblanc,Graves,Nami,"Morgana, Rumble, Lulu",Maokai,JarvanIV,Ezreal,Corki,Janna,"Lissandra, Sivir, Irelia"
NALCS,2015,Spring,Season,TL,1,0,GV,Kennen,RekSai,Lissandra,Corki,Braum,"Thresh, Zed, Maokai",Hecarim,Nidalee,Viktor,Graves,Morgana,"Janna, Annie, Rumble"
NALCS,2015,Spring,Season,TSM,1,0,DIG,Maokai,RekSai,Lissandra,Sivir,Janna,"Kassadin, Rumble, Thresh",Renekton,Vi,Ezreal,Graves,Morgana,"JarvanIV, Nidalee, Veigar"
NALCS,2015,Spring,Season,CLG,1,0,WFX,Maokai,JarvanIV,Ezreal,Kalista,Thresh,"Zed, Annie, Sion",Hecarim,RekSai,Kassadin,Corki,Janna,"Lissandra, Rumble, Nidalee"
NALCS,2015,Spring,Season,GV,1,0,CST,Maokai,RekSai,Kassadin,Graves,Veigar,"Irelia, JarvanIV, Morgana",Rumble,Rengar,Ezreal,Corki,Annie,"Lissandra, Fizz, Zed"
NALCS,2015,Spring,Season,C9,1,0,WFX,Maokai,Nidalee,Zed,Corki,Morgana,"Annie, RekSai, Hecarim",Gnar,JarvanIV,Leblanc,Kalista,Thresh,"Lissandra, Rumble, Veigar"
NALCS,2015,Spring,Season,TIP,1,0,TSM,Morgana,LeeSin,Kassadin,Graves,Leona,"Veigar, Maokai, Janna",Irelia,RekSai,Leblanc,Corki,Annie,"Lissandra, Rumble, Kennen"
NALCS,2015,Spring,Season,CLG,0,1,TL,Rumble,Nidalee,Ezreal,Tristana,Braum,"Kennen, Annie, Irelia",Morgana,RekSai,Zed,Jinx,Janna,"Kalista, Lissandra, Maokai"
NALCS,2015,Spring,Season,T8,1,0,DIG,Gragas,RekSai,Zed,Sivir,Morgana,"Rumble, Kassadin, JarvanIV",Maokai,FiddleSticks,Ahri,Ezreal,Annie,"Leblanc, Irelia, Lissandra"
NALCS,2015,Spring,Season,DIG,1,0,CST,Rumble,Vi,Ahri,Sivir,Annie,"Nidalee, JarvanIV, Morgana",Kennen,LeeSin,Leblanc,Corki,Leona,"Lissandra, RekSai, Maokai"
NALCS,2015,Spring,Season,GV,0,1,CLG,Lissandra,Sejuani,Viktor,Graves,Janna,"Kalista, Rumble, Kennen",Hecarim,RekSai,Lulu,Jinx,Thresh,"Morgana, Zed, Maokai"
NALCS,2015,Spring,Season,WFX,0,1,TSM,Kennen,JarvanIV,Viktor,Corki,Leona,"Janna, Rumble, Morgana",Lulu,RekSai,Zed,Sivir,Thresh,"Lissandra, Maokai, Nami"
NALCS,2015,Spring,Season,TIP,1,0,C9,Kennen,LeeSin,Karthus,Graves,Leona,"Nidalee, Maokai, Morgana",Lulu,Vi,Zed,Corki,Braum,"Lissandra, Rumble, RekSai"
NALCS,2015,Spring,Season,TL,0,1,T8,Kennen,JarvanIV,Zed,Kalista,Thresh,"Irelia, Maokai, Nidalee",Rumble,Vi,Leblanc,Graves,Janna,"Lissandra, Morgana, RekSai"
NALCS,2015,Spring,Season,C9,1,0,DIG,Lissandra,Sejuani,Kennen,Graves,Morgana,"Sivir, Lulu, Rumble",JarvanIV,RekSai,Ahri,Corki,Annie,"Nidalee, Maokai, Zed"
NALCS,2015,Spring,Season,TSM,1,0,T8,Rumble,Nidalee,Lissandra,Sivir,Annie,"Irelia, Leblanc, Morgana",Gragas,RekSai,Orianna,Lucian,Janna,"Zed, Ahri, Maokai"
NALCS,2015,Spring,Season,TL,0,1,TIP,Kennen,JarvanIV,Lulu,Jinx,Braum,"LeeSin, Rumble, Nidalee",Maokai,Vi,Karthus,Graves,Leona,"Lissandra, RekSai, Morgana"
NALCS,2015,Spring,Season,GV,1,0,WFX,Rumble,RekSai,Leblanc,Graves,Thresh,"Kennen, Zed, Lissandra",Maokai,JarvanIV,Viktor,Corki,Leona,"Fizz, Hecarim, Morgana"
NALCS,2015,Spring,Season,CLG,1,0,CST,Kennen,Vi,Zed,Kalista,Thresh,"Morgana, Leblanc, Maokai",Irelia,LeeSin,Ahri,Graves,Janna,"Lissandra, RekSai, Hecarim"
NALCS,2015,Spring,Season,CST,0,1,TIP,Irelia,Gragas,Chogath,Lucian,Leona,"LeeSin, Sejuani, Karthus",Rumble,Nidalee,Yasuo,Graves,Janna,"Lissandra, RekSai, Rengar"
NALCS,2015,Spring,Season,TL,0,1,C9,DrMundo,RekSai,Cassiopeia,Kalista,Janna,"Rumble, Zed, Nidalee",Maokai,Vi,Lissandra,Lucian,Nautilus,"Kennen, Morgana, Lulu"
NALCS,2015,Spring,Season,TSM,0,1,GV,DrMundo,RekSai,Zed,Lucian,Lulu,"Morgana, Hecarim, Sejuani",Maokai,Nunu,Urgot,Corki,Thresh,"Nidalee, Sivir, Annie"
NALCS,2015,Spring,Season,CLG,1,0,DIG,Sion,Vi,Ahri,Kalista,Thresh,"Sivir, Annie, Zed",Hecarim,Zac,Leblanc,Tristana,Janna,"Nidalee, Lulu, Maokai"
NALCS,2015,Spring,Season,WFX,0,1,T8,Lulu,Sejuani,Karthus,Lucian,Janna,"Leblanc, Nidalee, Irelia",Gragas,Vi,Orianna,Graves,Morgana,"Maokai, Hecarim, RekSai"
NALCS,2015,Spring,Season,DIG,0,1,GV,Sion,Zac,Xerath,Tristana,Janna,"Maokai, Nidalee, Nunu",Hecarim,Sejuani,Fizz,Sivir,Morgana,"Annie, Leblanc, Ahri"
NALCS,2015,Spring,Season,TSM,1,0,CLG,Lulu,Sejuani,Zed,Corki,Thresh,"Hecarim, Morgana, Sion",Kennen,RekSai,Ahri,Jinx,Janna,"Sivir, Annie, Maokai"
NALCS,2015,Spring,Season,T8,1,0,C9,Vladimir,Sejuani,Lulu,Graves,Thresh,"Zed, Nidalee, Lissandra",Maokai,Nunu,Corki,Lucian,Nautilus,"Leblanc, Morgana, RekSai"
NALCS,2015,Spring,Season,TIP,1,0,WFX,Hecarim,Nidalee,Yasuo,Graves,Thresh,"Maokai, Sejuani, RekSai",Lulu,Nunu,Zed,Twitch,Janna,"Karthus, Rumble, Leona"
NALCS,2015,Spring,Season,CST,0,1,TL,Lissandra,Gragas,Yasuo,KogMaw,Alistar,"Kennen, RekSai, Sejuani",Lulu,Nunu,Ahri,Vayne,Janna,"Nidalee, Maokai, Rengar"
NALCS,2015,Spring,Season,GV,0,1,C9,Irelia,Nunu,Rumble,Caitlyn,Morgana,"Nidalee, Lissandra, Maokai",Kennen,Sejuani,Zed,Lucian,Nautilus,"Vladimir, Urgot, Hecarim"
NALCS,2015,Spring,Season,T8,0,1,CLG,Maokai,RekSai,Orianna,Graves,Thresh,"Kalista, Sion, Ahri",Rumble,Sejuani,Corki,Sivir,Lulu,"Leblanc, Nidalee, Gragas"
NALCS,2015,Spring,Season,WFX,1,0,TL,Sion,Nidalee,Ezreal,Caitlyn,Nautilus,"Nunu, Hecarim, Sejuani",Renekton,RekSai,Vladimir,Graves,Annie,"Lulu, Maokai, Urgot"
NALCS,2015,Spring,Season,CST,0,1,TSM,Sion,RekSai,Cassiopeia,Twitch,Nautilus,"Zed, Annie, Leblanc",Lulu,Nidalee,Urgot,KogMaw,Janna,"Rengar, Maokai, Sejuani"
NALCS,2015,Spring,Season,TIP,0,1,DIG,Rumble,RekSai,Leblanc,Graves,Janna,"Hecarim, Sejuani, Vi",Sion,Zac,Katarina,Lucian,Annie,"Karthus, LeeSin, Nidalee"
NALCS,2015,Spring,Season,WFX,1,0,CST,Sion,LeeSin,Chogath,Sivir,Lulu,"Rengar, Irelia, Sejuani",Lissandra,Gragas,Urgot,Varus,Janna,"Maokai, Hecarim, Nidalee"
NALCS,2015,Spring,Season,C9,1,0,TSM,Maokai,Vi,Lissandra,Lucian,Nautilus,"Lulu, Nidalee, Zed",Kennen,RekSai,Chogath,Graves,Leona,"Rumble, Sejuani, Morgana"
NALCS,2015,Spring,Season,DIG,0,1,TL,Kennen,Zac,Diana,Sivir,Thresh,"Nidalee, RekSai, Lulu",Hecarim,Sejuani,Lissandra,Kalista,Annie,"Sion, Maokai, Rumble"
NALCS,2015,Spring,Season,GV,1,0,T8,Rumble,Nunu,Vladimir,Graves,Thresh,"Nidalee, Orianna, Leblanc",Gragas,RekSai,Lissandra,Sivir,Morgana,"Urgot, Hecarim, Sejuani"
NALCS,2015,Spring,Season,CLG,0,1,TIP,Jax,RekSai,Lulu,Kalista,Alistar,"Karthus, Nidalee, LeeSin",Rumble,Vi,Corki,Graves,Leona,"Sion, Sejuani, Morgana"
NALCS,2015,Spring,Season,T8,0,1,TL,Hecarim,RekSai,Lissandra,Corki,Thresh,"Annie, Vladimir, Maokai",Lulu,Sejuani,Zed,Lucian,Janna,"Orianna, Leblanc, Rumble"
NALCS,2015,Spring,Season,C9,1,0,CLG,Maokai,Zac,JarvanIV,Draven,Morgana,"Lulu, Corki, Sejuani",Hecarim,Vi,Lissandra,Vayne,Alistar,"Zed, Rumble, Nidalee"
NALCS,2015,Summer,Season,C9,1,0,TSM,Rumble,Gragas,KogMaw,Sivir,Nautilus,"Leblanc, Kalista, Hecarim",Maokai,RekSai,Viktor,Urgot,Thresh,"Alistar, Sejuani, Ashe"
NALCS,2015,Summer,Season,TDK,0,1,TL,Rumble,RekSai,Azir,Corki,Thresh,,Gnar,Gragas,Cassiopeia,Kalista,Annie,"KogMaw, Nidalee, Evelynn"
NALCS,2015,Summer,Season,CLG,1,0,DIG,Maokai,LeeSin,KogMaw,Ashe,Alistar,"Thresh, RekSai, JarvanIV",Hecarim,Sejuani,Azir,Kalista,Annie,"Gragas, Leblanc, Bard"
NALCS,2015,Summer,Season,T8,0,1,TIP,Gnar,RekSai,Ziggs,Urgot,Thresh,"Rumble, Kassadin, Kalista",Yasuo,Evelynn,Fizz,Sivir,Alistar,"Gragas, Maokai, Leblanc"
NALCS,2015,Summer,Season,GV,0,1,NME,Hecarim,Nunu,Fizz,Sivir,Thresh,"Irelia, Leblanc, Kalista",Rumble,Sejuani,Kassadin,Vayne,Nautilus,"Alistar, RekSai, Gragas"
NALCS,2015,Summer,Season,TL,1,0,T8,Rumble,Nunu,Cassiopeia,Sivir,Thresh,"Leblanc, Hecarim, Urgot",Irelia,Sejuani,Vladimir,Graves,Nautilus,"Kalista, Gragas, RekSai"
NALCS,2015,Summer,Season,DIG,1,0,C9,Gnar,Zac,Vladimir,Kalista,Nautilus,"Leblanc, Gragas, Rumble",Maokai,RekSai,KogMaw,Ashe,Thresh,"Annie, Alistar, Hecarim"
NALCS,2015,Summer,Season,TIP,0,1,CLG,Hecarim,Evelynn,Leblanc,Sivir,Alistar,"Maokai, Bard, Gragas",Gnar,Sejuani,Azir,Kalista,Thresh,"Fizz, RekSai, Yasuo"
NALCS,2015,Summer,Season,TSM,1,0,NME,Rumble,Sejuani,Viktor,Sivir,Alistar,"Irelia, KogMaw, RekSai",Hecarim,Evelynn,Kassadin,Kalista,Morgana,"Gragas, Cassiopeia, Leblanc"
NALCS,2015,Summer,Season,TDK,0,1,GV,Vladimir,Gragas,Viktor,Lucian,Thresh,,Hecarim,LeeSin,Malphite,Jinx,Alistar,"Nidalee, Evelynn"
NALCS,2015,Summer,Season,NME,0,1,TL,Irelia,Gragas,Varus,Corki,Nautilus,"Leblanc, Sejuani, Alistar",Ryze,RekSai,Azir,Kalista,Thresh,"Hecarim, Nidalee, KogMaw"
NALCS,2015,Summer,Season,C9,0,1,GV,Ryze,Sejuani,Viktor,Ezreal,Nautilus,"Hecarim, Alistar, Fizz",Maokai,RekSai,TwistedFate,Sivir,Thresh,"Gragas, Kalista, Azir"
NALCS,2015,Summer,Season,TSM,1,0,TIP,Gnar,RekSai,Leblanc,Vayne,Annie,"Fizz, Yasuo, Alistar",Rumble,LeeSin,Azir,Sivir,Thresh,"Gragas, Kalista, Ryze"
NALCS,2015,Summer,Season,T8,0,1,CLG,Maokai,Sejuani,Ziggs,Kalista,Nautilus,"Bard, Ryze, Alistar",Rumble,RekSai,Varus,Sivir,Thresh,"Irelia, Leblanc, Gragas"
NALCS,2015,Summer,Season,DIG,1,0,TDK,Ryze,Zac,Azir,Kalista,Morgana,"Evelynn, Nidalee, Thresh",Irelia,Gragas,Varus,Corki,Nautilus,"Gnar, Alistar, RekSai"
NALCS,2015,Summer,Season,C9,0,1,TIP,Maokai,Gragas,Azir,Lucian,Nautilus,"Alistar, Fizz, Yasuo",Rumble,Sejuani,Leblanc,Sivir,Janna,"Kalista, Ryze, RekSai"
NALCS,2015,Summer,Season,TL,0,1,GV,Maokai,RekSai,Cassiopeia,Vayne,Janna,"Fizz, Thresh, Hecarim",Ryze,JarvanIV,Urgot,Sivir,Alistar,"Kalista, Leblanc, Gragas"
NALCS,2015,Summer,Season,CLG,0,1,TSM,Maokai,LeeSin,Azir,Kalista,Nautilus,"Rumble, Gragas, Alistar",Gnar,RekSai,Leblanc,Sivir,Bard,"Ryze, Yasuo, Thresh"
NALCS,2015,Summer,Season,TDK,0,1,NME,Rumble,Sejuani,Orianna,Ashe,Thresh,"Hecarim, KogMaw, Varus",Irelia,Gragas,Leblanc,Kalista,Bard,"Nidalee, Ryze, Alistar"
NALCS,2015,Summer,Season,T8,0,1,DIG,Rumble,RekSai,Azir,Sivir,Nautilus,"Alistar, Kalista, JarvanIV",Gnar,Zac,KogMaw,Ezreal,Thresh,"Irelia, Leblanc, Ryze"
NALCS,2015,Summer,Season,NME,0,1,T8,Gnar,RekSai,Ekko,Sivir,Janna,"Leblanc, Kalista, Kassadin",Hecarim,Nunu,Azir,Jinx,Thresh,"Gragas, Ryze, Alistar"
NALCS,2015,Summer,Season,TSM,0,1,DIG,Hecarim,Gragas,Ekko,Kalista,Bard,"Azir, Rumble, Alistar",Fizz,RekSai,KogMaw,Sivir,Morgana,"Leblanc, Ryze, Maokai"
NALCS,2015,Summer,Season,TL,1,0,C9,Hecarim,Ekko,Leblanc,Corki,Alistar,"Rumble, Sivir, Gragas",Fizz,Nunu,Azir,Lucian,Nautilus,"Ryze, Kalista, RekSai"
NALCS,2015,Summer,Season,TIP,1,0,TDK,Maokai,LeeSin,Leblanc,Sivir,Alistar,"Kalista, Gragas, Ryze",DrMundo,Nidalee,Viktor,Lucian,Janna,
NALCS,2015,Summer,Season,GV,0,1,CLG,Hecarim,JarvanIV,Rumble,Sivir,Alistar,"Leblanc, Azir, RekSai",Ekko,Gragas,Lulu,Ashe,Bard,"Urgot, TwistedFate, Ryze"
NALCS,2015,Summer,Season,C9,1,0,T8,Maokai,Gragas,Varus,Jinx,Karma,"Leblanc, Hecarim, Sivir",Fizz,Nunu,Azir,Corki,Alistar,"Rumble, Ryze, Kalista"
NALCS,2015,Summer,Season,TSM,1,0,TDK,Rumble,RekSai,Ekko,Kalista,Annie,"Nidalee, Thresh, Evelynn",Vladimir,Gragas,Yasuo,Corki,Malphite,"Alistar, Ryze, Leblanc"
NALCS,2015,Summer,Season,TIP,0,1,TL,Rumble,LeeSin,Kassadin,Kalista,Annie,"Ekko, RekSai, Gragas",Hecarim,Sejuani,Leblanc,Tristana,Nautilus,"Alistar, Ryze, Sivir"
NALCS,2015,Summer,Season,DIG,0,1,GV,Maokai,RekSai,Azir,Kalista,Annie,"Urgot, TwistedFate, Sivir",Rumble,Gragas,JarvanIV,Tristana,Nautilus,"Ryze, Leblanc, Alistar"
NALCS,2015,Summer,Season,CLG,1,0,NME,Gnar,Nunu,Azir,Sivir,Bard,"Irelia, Gragas, Alistar",Hecarim,RekSai,Xerath,Vayne,Janna,"Kalista, Ryze, Ekko"
NALCS,2015,Summer,Season,DIG,1,0,TIP,Hecarim,XinZhao,TwistedFate,Corki,Alistar,"Rumble, Nidalee, Sivir",Ekko,RekSai,Varus,Graves,Janna,"Kalista, Ryze, Gragas"
NALCS,2015,Summer,Season,TDK,0,1,CLG,Rumble,RekSai,Azir,Corki,Nautilus,,Gnar,Gragas,KogMaw,Kalista,Alistar,"Ryze, Nidalee, Vladimir"
